Store_name,address,locality,city,state_postal,state,postal_code,email,vat
Superga 156 Melilli,Corso Edoardo Garrone 1,"Melilli, SR  96010",Melilli,SR  96010,SR,96010,superga156@superga.net,931761225
Superga 163 Siracusa,Corso Matteotti 70,"Siracusa, SR  96100",Siracusa,SR  96100,SR,96100,superga163@superga.net,93166759
Superga 166 Napoli,Via Chiaia 167,"Napoli, NA  80121",Napoli,NA  80121,NA,80121,superga166@superga.net,8118658140
Superga 169 Palermo,Via Filippo Pecoraino Snc,"Palermo, PA  90124",Palermo,PA  90124,PA,90124,superga169@superga.net,91473917
Superga 173 Carini,Contr. Ciachea Snc,"Carini, PA  90044",Carini,PA  90044,PA,90044,superga173@superga.net,918690913
Superga 176 Ragusa,Via Achille Grandi 26,"Ragusa, RG  97100",Ragusa,RG  97100,RG,97100,superga176@superga.net,932257758
Superga 179 Firenze,Via Vacchereccia 6/R,"Firenze, FI  50122",Firenze,FI  50122,FI,50122,superga179@superga.net,550939976
Superga 18 Rivarolo,Corso Indipendenza 74,"Rivarolo Canavese, TO  10086",Rivarolo Canavese,TO  10086,TO,10086,superga18@superga.net,124435119
Superga 181 San Salvo,Contr. Piana S.Angelo Snc,"San Salvo, CH  66050",San Salvo,CH  66050,CH,66050,superga181@superga.net,873544027
Superga 184 Taormina,Corso Umberto 225,"Taormina, ME  98039",Taormina,ME  98039,ME,98039,superga184@superga.net,942395510
Superga 188 Cefalù,Corso Ruggero 28,"Cefalù, PA  90015",Cefalù,PA  90015,PA,90015,superga188@superga.net,0921-600783
Superga 189 Cassino,Via Casilina Snc,"Piedimonte San Germano, FR  03030",Piedimonte San Germano,FR  03030,FR,3030,superga189@superga.net,7761715361
Superga 191 Marsala,Via Roma 117,"Marsala, TP  91025",Marsala,TP  91025,TP,91025,superga191@superga.net,923873886
Superga 192 Chieti,Via Po 1,"San Giovanni Teatino, CH  66020",San Giovanni Teatino,CH  66020,CH,66020,superga192@superga.net,3467371618
Superga 193 Catania,Strada Sp54 Snc,"Misterbianco, CT  95045",Misterbianco,CT  95045,CT,95045,superga193@superga.net,958745394
Superga 195 Soverato,Corso Umberto 98,"Soverato, CZ  88068",Soverato,CZ  88068,CZ,88068,superga195@superga.net,967595220
Superga 196 Caltagirone,Viale Europa 115,"Caltagirone, CT  95041",Caltagirone,CT  95041,CT,95041,superga196@superga.net,933336822
Superga 198 Sciacca,Via Licata 187,"Sciacca, AG  92019",Sciacca,AG  92019,AG,92019,superga198@superga.net,925080176
Superga 199 Acireale,Corso Umberto I 6,"Acireale, CT  95024",Acireale,CT  95024,CT,95024,superga199@superga.net,959515386
Superga 25 Rovigo,Via 10 Luglio 24,"Rovigo, RO  45100",Rovigo,RO  45100,RO,45100,superga25@superga.net,425460530
Superga 28 Empoli,Via Del Papa 84/86,"Empoli, FI  50053",Empoli,FI  50053,FI,50053,superga28@superga.net,3925591102
Superga 35 Bologna,Via Indipendenza 2,"Bologna, BO  40121",Bologna,BO  40121,BO,40121,superga35@superga.net,519525100
Superga 44 Lecce,Via Trinchese 90,"Lecce, LE  73100",Lecce,LE  73100,LE,73100,superga44@superga.net,832238111
Superga 47 Genova Sestri,Via Sestri 124R,"Genova, GE  16154",Genova,GE  16154,GE,16154,superga47@superga.net,100926059
Superga 5 Jesolo,Via Dante Alighieri 3,"Jesolo, VE  30016",Jesolo,VE  30016,VE,30016,superga5@superga.net,superga5@superga.net
Superga 63 Ostuni,Via Giovanni XXIII 66,"Ostuni, BR  72017",Ostuni,BR  72017,BR,72017,superga63@superga.net,8311785149
Superga 9 Alassio,Via XX Settembre 107,"Alassio, SV  17021",Alassio,SV  17021,SV,17021,superga9@superga.net,182648491
Superga 91 Anzio,Via XX Settembre 11,"Anzio, RM  00042",Anzio,RM  00042,RM,42,superga91@superga.net,697625018
RDK17 Asiago,"Via Monte Cengio, 17","Asiago, Vicenza  36012",Asiago,Vicenza  36012,VI,36012,No email,rdk17@robedikappa.net
Superga 201 Finale Ligure,Via Tommaso Pertica 49,"Finale Ligure, SV  17024",Finale Ligure,SV  17024,SV,17024,superga201@superga.net,superga201@superga.net
